playerid	position	teamid	number	firstname	lastname	nationality	prefFoot	accel	aggression	awareness	ballcontrol	crossing	dribbling	heading	longpassing	marking	sprint	shortpassing	reflexes	finishing	shotpower	stamina	strength	standingtackle	positioning	composure	handling	gkpositioning	reactions	longshots	freekick	diving	WFA	potential	ovr	skill
48940	GK	1	33	Petr	Čech	12	1	40	20	50	22	20	20	20	76	20	44	35	81	20	21	32	65	20	13	70	87	83	84	20	19	82	2	86	83	GKDIVING
53612	CB	1	4	Per	Mertesacker	21	0	26	68	88	64	38	39	84	58	85	28	66	21	36	71	55	83	87	43	87	21	21	85	25	45	12	2	81	77	PHYSICAL
146562	CM	1	19	Santiago	Cazorla González	45	0	68	64	80	87	85	85	58	83	58	63	86	24	75	77	68	59	64	79	88	24	24	82	78	78	6	4	83	79	PASSING
158626	RB	1	2	Mathieu	Debuchy	18	0	71	79	82	73	79	72	74	73	78	68	75	20	59	74	70	71	78	63	75	20	20	74	68	61	8	2	77	75	PHYSICAL
164859	RM	1	14	Theo	Walcott	14	0	92	65	73	78	74	81	58	65	33	91	74	21	77	76	73	62	39	80	78	21	21	77	69	74	11	2	80	79	PASSING
165229	CB	1	6	Laurent	Koscielny	18	0	74	88	81	67	52	62	81	69	83	76	76	21	32	54	75	76	87	39	75	21	21	82	47	49	13	2	84	82	TACKLING
176550	GK	1	13	David	Ospina	56	0	34	20	21	32	20	20	20	78	20	34	36	84	20	35	29	38	20	16	29	71	77	70	20	13	83	2	79	78	GKGENERALIST
176635	CAM	1	11	Mesut	Özil	21	1	75	48	75	90	82	86	54	84	22	68	89	20	74	70	69	57	20	83	78	20	20	87	76	79	6	1	88	83	SHORTPASSING
177604	LB	1	18	Ignacio	Monreal Eraso	45	1	74	74	72	77	78	73	67	61	80	72	77	20	39	71	83	65	82	64	76	20	20	79	61	59	7	2	80	77	AGGRESSION
178509	ST	1	12	Olivier	Giroud	18	1	51	76	78	82	64	72	90	56	26	55	77	20	83	85	74	90	37	83	78	20	20	82	74	65	12	2	82	78	POSITIONING
184941	LM	1	7	Alexis	Sánchez	55	0	88	80	78	87	80	90	70	73	30	84	81	21	85	84	85	72	39	86	86	21	21	87	82	78	10	2	89	84	PACE
186146	ST	1	23	Danny	Welbeck	14	0	83	75	82	78	69	80	75	64	28	84	76	21	75	77	81	78	38	80	76	21	21	78	69	62	9	2	81	78	POSITIONING
186561	CM	1	8	Aaron	Ramsey	50	0	67	73	78	82	75	81	58	80	60	68	84	21	72	81	89	69	70	82	81	21	21	81	74	70	6	2	83	78	AWARENESS
189271	CDM	1	34	Francis	Coquelin	18	0	65	91	66	78	60	72	60	71	77	67	75	22	41	71	79	76	80	62	74	22	22	74	57	41	9	2	80	75	PASSING
189461	CM	1	10	Jack	Wilshere	14	1	73	82	78	84	73	82	58	80	61	69	84	22	64	75	77	66	63	80	80	22	22	80	73	72	6	1	84	78	AWARENESS
192227	CB	1	20	Shkodran	Mustafi	21	0	64	79	72	70	50	53	81	69	82	69	77	22	58	66	74	81	83	50	74	22	22	82	52	47	11	2	86	80	AGGRESSION
193301	ST	1	9	Alexandre	Lacazette	18	0	84	70	78	84	64	85	72	59	23	87	79	23	87	81	80	79	42	87	86	23	23	85	76	71	11	2	88	84	HEADING
199503	CM	1	29	Granit	Xhaka	47	1	48	92	77	80	66	70	62	86	71	51	85	24	49	88	78	76	73	77	74	24	24	83	85	70	7	1	85	76	SETPIECES
203747	RB	1	24	Héctor	Bellerín Moruno	45	0	96	72	72	79	76	76	60	59	75	94	75	25	52	52	87	62	77	67	72	25	25	78	43	50	8	2	88	79	BALANCED
205989	CB	1	21	Calum	Chambers	14	0	61	81	67	73	70	67	68	65	75	67	73	25	47	52	75	75	79	54	68	25	25	66	56	49	11	2	84	75	DEFENDING
207993	LB	1	31	Sead	Kolašinac	8	1	73	91	72	69	74	63	73	49	78	82	68	25	42	82	85	91	83	62	70	25	25	78	52	25	15	1	83	75	BALANCED
213051	CDM	1	35	Mohamed	Elneny	111	0	58	74	73	76	67	68	57	73	70	61	79	20	57	71	92	73	75	63	77	20	20	75	67	61	7	2	81	72	AWARENESS
213407	GK	1	54	Matt	Macey	14	0	38	25	22	20	20	20	20	46	20	41	27	53	20	20	33	61	20	12	24	49	49	53	20	17	53	1	62	51	GKPOSITIONING
213418	ST	1	32	Chuba	Akpom	14	0	86	39	45	60	48	63	63	45	21	84	62	20	61	56	56	75	29	62	52	20	20	55	52	37	8	2	75	64	POSITIONING
213649	GK	1	50	Deyan	Iliev	19	0	45	20	23	21	20	20	20	47	20	43	27	59	20	20	35	68	20	12	30	55	48	52	20	12	63	2	67	56	GKPOSITIONING
213655	LM	1	17	Alex	Iwobi	133	0	79	46	66	83	52	83	42	57	29	78	80	20	63	67	70	72	26	68	70	20	20	72	54	40	14	2	85	73	CROSSING
216699	CM	1	40	Gedion	Zelalem	95	0	69	40	70	70	51	64	49	71	45	61	73	21	48	51	68	52	48	55	65	21	21	62	44	54	10	2	75	64	SETPIECES
222255	GK	1	59	Ryan	Huddart	14	0	39	22	29	27	22	22	22	55	21	40	23	60	22	21	32	59	22	12	32	55	49	58	22	15	63	2	67	57	GKPOSITIONING
222576	CB	1	48	Julio José	Pleguezuelo Selva	45	0	65	59	59	70	53	66	62	59	67	63	71	22	32	38	56	59	62	41	57	22	22	59	35	44	14	3	73	63	DEFENDING
224129	RB	1	42	Tafari	Moore	14	0	76	70	55	57	65	65	57	34	62	66	53	22	39	30	55	51	64	54	57	22	22	60	33	37	16	2	71	62	REACTIONS
224763	CB	1	37	Krystian	Bielik	37	0	51	71	41	66	49	61	55	60	58	50	65	23	33	57	39	74	61	53	55	23	23	55	47	43	15	2	77	62	STRENGTH
225766	GK	1	53	Hugo	Keto	17	0	49	25	23	24	23	23	23	49	23	41	30	49	23	23	25	57	23	8	24	48	46	46	23	19	56	0	68	49	GKPOSITIONING
225771	RB	1	51	Chiori	Johnson	14	0	74	47	45	42	35	49	38	42	50	69	46	23	23	28	66	57	54	41	50	23	23	46	28	28	11	1	66	51	PHYSICAL
225776	RM	1	44	Aaron	Eyoma	14	0	75	34	38	47	48	49	37	39	27	73	42	23	40	48	52	45	30	43	44	23	23	39	38	40	12	1	65	49	PASSING
225779	CB	1	65	Ben	Sheaf	14	0	55	54	56	47	39	43	49	48	50	60	53	23	43	53	57	64	55	43	55	23	23	51	39	41	15	1	73	54	PHYSICAL
225782	RM	1	30	Ainsley	Maitland-Niles	14	0	80	55	44	63	60	65	38	66	57	85	68	23	51	58	72	68	59	56	55	23	23	62	54	36	15	3	79	65	SETPIECES
228295	CB	1	16	Rob	Holding	14	0	61	72	60	69	52	63	64	44	74	63	62	23	30	48	75	75	74	40	72	23	23	68	27	30	14	2	85	71	STRENGTH
228509	RM	1	22	Jeff	Reine-Adelaïde	18	0	79	45	57	59	41	72	54	62	41	72	68	23	41	63	54	60	41	62	59	23	23	62	46	43	10	2	81	63	SETPIECES
231445	CM	1	41	Josh	Dasilva	14	1	69	47	53	59	49	69	54	59	32	72	63	20	61	61	61	71	42	45	53	20	20	56	54	43	11	2	70	57	AWARENESS
231446	CDM	1	58	Marcus	McGuane	14	0	65	51	62	61	54	62	52	71	45	60	75	20	49	62	44	63	55	51	55	20	20	61	43	49	9	2	69	58	PASSING
231448	RM	1	61	Reiss	Nelson	14	0	84	42	43	64	50	74	39	41	29	79	44	20	53	65	35	44	28	57	57	20	20	44	42	44	12	2	83	59	AWARENESS
232500	ST	1	45	Yassin	Fortune	18	0	58	32	39	63	35	52	51	37	20	66	52	20	58	57	46	60	23	54	50	20	20	60	63	35	8	2	75	57	POSITIONING
233441	CB	1	39	Tolaji	Bola	14	1	59	50	30	41	32	33	60	29	50	55	43	20	30	41	57	68	65	32	49	20	20	52	29	32	8	2	72	58	PHYSICAL
233442	RB	1	62	Jordi	Osei-Tutu	14	0	68	58	41	38	45	56	54	30	56	69	28	20	37	33	57	58	63	49	48	20	20	58	35	34	10	2	69	53	AGGRESSION
236988	ST	1	73	Edward	Nketiah	14	0	77	40	47	54	33	59	49	46	21	75	51	21	60	48	46	55	21	62	53	21	21	62	58	28	12	2	80	59	POSITIONING
237324	CAM	1	43	Vlad	Dragomir	39	1	68	45	49	53	39	55	42	51	41	67	54	21	43	41	55	46	51	52	48	21	21	48	42	41	11	2	72	52	SETPIECES
237325	CM	1	46	Charlie	Gilmour	42	0	69	45	43	52	38	50	41	49	42	64	52	21	37	40	57	49	48	56	48	21	21	54	38	39	13	2	68	51	SETPIECES
237329	CAM	1	66	Joseph	Willock	14	0	68	50	51	50	40	51	41	48	36	67	53	21	36	42	38	53	40	49	55	21	21	51	38	46	11	2	71	50	SETPIECES
237704	GK	1	60	João	Virgínia	38	0	50	24	16	21	21	21	21	54	21	50	21	57	21	25	21	57	21	8	30	48	53	37	21	13	57	2	78	52	GKGENERALIST
239214	GK	1	70	Alex	Crean	42	0	45	24	21	21	21	21	21	56	21	40	21	52	21	25	42	54	21	4	30	52	50	44	21	10	58	2	67	52	GKGENERALIST
240142	RM	1	74	Nathan	Tormey	14	1	80	42	56	62	53	70	50	49	33	79	54	21	43	69	35	50	36	42	50	21	21	49	42	44	8	2	73	60	GENERALIST
240273	RM	1	64	Emile	Smith Rowe	14	0	81	39	48	62	57	60	36	36	21	79	54	21	61	69	39	45	21	45	54	21	21	41	48	46	11	2	69	58	SETPIECES
240334	CB	1	72	Zech	Medley	14	0	57	48	35	41	34	34	55	37	57	55	40	21	25	41	58	57	70	32	50	21	21	56	27	29	10	2	73	58	STRENGTH
213418	ST	1	32	Chuba	Akpom	14	0	97	50	56	71	59	74	74	56	32	95	73	31	72	67	67	86	40	73	63	31	31	66	63	48	19	2	75	74	SHOTPOWER
165229	CB	1	6	Laurent	Koscielny	18	0	74	88	81	67	52	62	81	69	83	76	76	21	32	54	75	76	87	39	75	21	21	82	47	49	13	2	84	82	TACKLING
213655	CAM	1	17	Alex	Iwobi	133	0	82	49	69	86	55	86	45	60	32	81	83	23	66	70	73	75	29	71	73	23	23	75	57	43	17	2	85	76	CROSSING
207993	LWB	1	31	Sead	Kolašinac	8	1	74	92	73	70	75	64	74	50	79	83	69	26	43	83	86	92	84	63	71	26	26	79	53	26	16	1	83	77	CROSSING
139062	GK	5	1	Willy	Caballero	52	0	44	30	49	30	23	23	22	73	23	47	33	81	23	23	44	70	23	7	56	76	78	75	23	11	80	2	79	78	GKPOSITIONING
162895	CM	5	4	Francesc	Fàbregas i Soler	45	0	65	45	89	86	85	80	74	90	60	62	91	21	76	77	80	64	63	78	92	21	21	81	75	81	6	2	86	81	GENERALIST
163873	GK	5	37	Eduardo	dos Reis Carvalho	38	0	46	28	36	32	21	21	21	71	21	44	22	75	21	38	21	72	21	11	53	74	78	68	21	14	75	2	75	75	GKPOSITIONING
164468	CB	5	24	Gary	Cahill	14	0	62	84	77	63	28	58	86	61	84	63	65	21	56	63	69	80	85	45	75	21	21	85	66	27	5	2	84	81	TACKLING
172962	RWB	5	15	Victor	Moses	133	0	84	45	60	80	75	84	69	70	68	83	73	23	70	75	87	80	72	76	75	23	23	76	68	61	9	3	81	75	AGGRESSION
179844	ST	5	19	Diego	da Silva Costa	45	0	74	93	71	83	65	77	83	52	28	75	67	20	88	84	83	91	39	88	84	20	20	86	73	59	11	3	86	82	AGILITY
179944	CB	5	30	David Luiz	Moreira Marinho	54	0	68	86	78	79	68	66	83	78	80	71	79	20	55	77	76	81	85	54	78	20	20	79	71	76	11	2	86	82	AGGRESSION
180403	RW	5	22	Willian	Borges da Silva	54	0	91	44	71	86	77	87	29	77	43	86	82	20	77	71	87	62	58	80	79	20	20	83	81	85	14	3	84	83	AGILITY
183277	LW	5	10	Eden	Hazard	7	0	93	54	73	92	80	93	57	81	25	87	86	21	83	79	79	65	27	85	87	21	21	85	82	79	11	3	91	87	AGILITY
184432	CB	5	28	César	Azpilicueta Tanco	45	0	78	80	79	79	78	69	76	74	87	79	80	21	46	68	88	73	88	62	78	21	21	86	60	58	13	2	87	82	AGGRESSION
186132	CM	5	6	Danny	Drinkwater	14	0	67	74	83	79	64	76	61	82	70	69	80	21	60	77	85	76	79	74	77	21	21	79	72	69	12	3	80	77	AWARENESS
189505	RW	5	11	Pedro	Rodríguez Ledesma	45	0	84	56	76	87	78	84	55	70	30	80	83	22	81	71	78	56	32	84	78	22	22	84	78	57	5	4	84	82	DRIBBLING
192119	GK	5	13	Thibaut	Courtois	7	1	46	23	60	23	22	22	22	69	22	52	32	88	22	36	38	70	22	13	52	91	86	81	22	11	85	2	92	86	REFLEXES
192638	LWB	5	3	Marcos	Alonso Mendoza	45	1	74	72	70	79	81	78	70	73	77	79	79	23	64	79	90	79	80	73	75	23	23	82	75	80	9	2	83	77	AGGRESSION
195356	GK	5	39	Matej	Delač	10	0	31	32	31	23	23	23	23	64	23	36	23	73	23	23	23	64	23	11	40	67	64	65	23	17	71	1	72	68	GKPOSITIONING
198351	ST	5	71	Islam	Feruz	42	0	75	37	35	72	38	67	55	38	25	75	38	24	54	53	52	61	24	55	49	24	24	52	45	43	9	2	65	59	POSITIONING
